cohort_month,cash_request_id,status,cash_request_amount
2020-07,7016.0,[2 4],200.0
2020-07,7017.0,[3 3],200.0
2020-07,7020.0,3,100.0
2020-07,7026.0,[4 4],200.0
2020-07,7027.0,3,100.0
2020-07,7037.0,3,100.0
2020-07,7038.0,3,100.0
2020-07,7056.0,[2 4],200.0
2020-07,7060.0,[4 4],200.0
2020-07,7138.0,3,100.0
2020-07,7139.0,[4 4],200.0
2020-07,7154.0,[3 3],200.0
2020-07,7170.0,[2 4],200.0
2020-07,7196.0,[3 3],200.0
2020-07,7199.0,3,100.0
2020-07,7234.0,[4 4],200.0
2020-07,7296.0,3,100.0
2020-07,7298.0,[3 3],200.0
2020-07,7317.0,[4 4],200.0
2020-07,7333.0,[4 4 4],300.0
2020-07,7334.0,[4 4],200.0
2020-07,7341.0,3,80.0
2020-07,7346.0,[3 2],200.0
2020-07,7353.0,[nan  4.],200.0
2020-07,7389.0,3,50.0
2020-07,7470.0,3,100.0
2020-07,7484.0,[3 3],200.0
2020-07,7582.0,[4 4],200.0
2020-07,7638.0,[4 2],200.0
2020-07,7657.0,3,100.0
2020-07,7658.0,3,50.0
2020-07,7661.0,[3 3],200.0
2020-07,7674.0,[4 4],200.0
2020-07,7691.0,[2 4],200.0
2020-07,7701.0,[3 3],200.0
2020-07,7760.0,3,100.0
2020-07,7826.0,[2 4],200.0
2020-07,7844.0,3,100.0
2020-07,7855.0,4,100.0
2020-07,7865.0,3,100.0
2020-07,7918.0,3,100.0
2020-07,7921.0,3,50.0
2020-07,7930.0,[2 3],200.0
2020-07,7938.0,3,50.0
2020-07,7967.0,[4 4],200.0
2020-07,7999.0,[3 3],200.0
2020-07,8104.0,3,100.0
2020-07,8108.0,[2 4],100.0
2020-07,8144.0,[2 4],100.0
2020-07,8146.0,[4 2],200.0
2020-07,8226.0,[4 4],200.0
2020-07,8231.0,[3 3],200.0
2020-07,8284.0,[4 4],200.0
2020-07,8348.0,3,100.0
2020-07,8354.0,3,50.0
2020-07,8386.0,[nan  4.],200.0
2020-07,8404.0,4,100.0
2020-07,8406.0,[4 4],200.0
2020-07,8463.0,3,100.0
2020-07,8474.0,3,100.0
2020-07,8476.0,[4 4],200.0
2020-07,8519.0,3,100.0
2020-07,8543.0,[4 4],200.0
2020-07,8565.0,[4 4],100.0
2020-07,8604.0,[3 3],200.0
2020-07,8617.0,3,50.0
2020-07,8633.0,3,50.0
2020-07,8665.0,[4 2 4],150.0
2020-07,8675.0,3,100.0
2020-07,8811.0,3,60.0
2020-07,8879.0,[4 4],200.0
2020-07,8934.0,4,100.0
2020-07,8948.0,[3 3],200.0
2020-07,8952.0,[4 4],200.0
